Week,Week Ending Date,COVID-like,Influenza-like,RSV-like,Total Respiratory
40,2023-10-07,0.0355,0.0147,0.0049,0.075
41,2023-10-14,0.0325,0.0152,0.006500000000000001,0.0738
42,2023-10-21,0.0298,0.017,0.0076,0.07429999999999999
43,2023-10-28,0.0317,0.0189,0.0101,0.0797
44,2023-11-04,0.0313,0.0199,0.0136,0.08560000000000001
45,2023-11-11,0.034300000000000004,0.0263,0.0163,0.1005
46,2023-11-18,0.0342,0.0272,0.019100000000000002,0.1091
47,2023-11-25,0.0382,0.0315,0.022400000000000003,0.1252
48,2023-12-02,0.0405,0.0313,0.023,0.1391
49,2023-12-09,0.0406,0.0359,0.022099999999999998,0.1562
50,2023-12-16,0.0451,0.0441,0.0202,0.19079999999999997
51,2023-12-23,0.0513,0.052000000000000005,0.020499999999999997,0.2345
52,2023-12-30,0.059399999999999994,0.047599999999999996,0.019100000000000002,0.2516
1,2024-01-06,0.054400000000000004,0.0325,0.0148,0.1931
2,2024-01-13,0.0473,0.0231,0.0116,0.1517
3,2024-01-20,0.042199999999999994,0.0206,0.0083,0.128
4,2024-01-27,0.0461,0.0228,0.0073,0.1318
5,2024-02-03,0.0435,0.021400000000000002,0.0072,0.1234
6,2024-02-10,0.0461,0.0222,0.0064,0.1222
7,2024-02-17,0.0435,0.022000000000000002,0.005600000000000001,0.1168
8,2024-02-24,0.040999999999999995,0.0218,0.0049,0.11349999999999999
9,2024-03-02,0.0366,0.0215,0.0051,0.10529999999999999
10,2024-03-09,0.0282,0.018500000000000003,0.0049,0.0888
11,2024-03-16,0.0232,0.0171,0.0046,0.0774
12,2024-03-23,0.0218,0.0176,0.005,0.0735
13,2024-03-30,0.0195,0.0175,0.0042,0.07
14,2024-04-06,0.020099999999999996,0.016,0.0034999999999999996,0.0684
15,2024-04-13,0.0177,0.014199999999999999,0.0033,0.0611
16,2024-04-20,0.0154,0.0131,0.0031,0.0553
17,2024-04-27,0.0138,0.013300000000000001,0.0027,0.053200000000000004
18,2024-05-04,0.014199999999999999,0.013900000000000001,0.0029,0.0526
19,2024-05-11,0.0131,0.0136,0.0025,0.0495
20,2024-05-18,0.013300000000000001,0.013500000000000002,0.0026,0.0508
21,2024-05-25,0.013000000000000001,0.012,0.002,0.0484
22,2024-06-01,0.013300000000000001,0.0128,0.002,0.047599999999999996
23,2024-06-08,0.013300000000000001,0.0109,0.0019,0.0453
24,2024-06-15,0.0134,0.0106,0.0016,0.0429
25,2024-06-22,0.0144,0.009399999999999999,0.0014000000000000002,0.0424
26,2024-06-29,0.0158,0.0084,0.0012,0.0429
27,2024-07-06,0.0186,0.0086,0.0011,0.0441
28,2024-07-13,0.0219,0.008100000000000001,0.001,0.0475
29,2024-07-20,0.0269,0.0089,0.0012,0.052199999999999996
30,2024-07-27,0.034699999999999995,0.009399999999999999,0.0013,0.0608
31,2024-08-03,0.0446,0.01,0.0011,0.0712
32,2024-08-10,0.050499999999999996,0.0109,0.0009,0.0785
33,2024-08-17,0.051500000000000004,0.0111,0.0014000000000000002,0.0816
34,2024-08-24,0.0493,0.0114,0.0014000000000000002,0.0788
35,2024-08-31,0.0482,0.0121,0.0019,0.0809
36,2024-09-07,0.0478,0.0143,0.0023,0.0828
37,2024-09-14,0.0433,0.0154,0.0028000000000000004,0.0808
38,2024-09-21,0.0335,0.0147,0.0028000000000000004,0.0659
39,2024-09-28,0.0262,0.013500000000000002,0.0025,0.0629
